name|orgurl|bzurl
# vim: encoding=utf-8
# This file is now parsed on-the-fly by Template Toolkit. It is no longer
# necessary to compile it. The first line is the hash keys assigned to each
# column by Template::Plugin::datafile as the file is loaded.  Lines beginning
# with # are ignored.
#
# Best link checker: http://www.kevinfreitas.net/extensions/linkchecker/
#
#############################################################################
# The following were all broken, at least in part, on 2015-05-18:
#
# Achievo|http://www.achievo.org/|http://bugzilla.achievo.org/
# Auraria Library, University of Denver|http://library.auraria.edu/|http://bugzilla.auraria.edu/
# Anionu|https://anionu.com/|http://bugs.anionu.com/
# AccessGrid, Argonne National Laboratory|http://www.mcs.anl.gov/index.php|http://bugzilla.mcs.anl.gov/accessgrid/
# Gocept|http://www.gocept.com/|http://bugs.gocept.com/
# Halogen D.G.|http://www.halogen-dg.com/|http://bugs.halogen-dg.com/
# j2 Solutions|http://geek.j2solutions.net/|http://geek.j2solutions.net/bugzilla/
# OpenEAI|http://www.openeai.org/|http://bugzilla.openeai.org/
# OpenGroupWare.org|http://www.opengroupware.org/|http://bugzilla.opengroupware.org/bugzilla/index.cgi
# Sourcey|http://sourcey.com|http://bugs.sourcey.com
# The Model Coupling Toolkit, Argonne National Laboratory|http://www.mcs.anl.gov/|http://bugzilla.mcs.anl.gov/mct/
# UCLA Grid Portal|http://www.ucgrid.org/|http://www.ucgrid.org/bugs/
# Xilay Software|http://www.xilay.nl/|http://bugs.xilay.nl/
# XORP|http://www.xorp.org/|http://www.xorp.org/bugzilla/index.cgi
#
# End of potentially-broken list
#############################################################################

1cpp.ru|http://www.1cpp.ru/|http://cvs.alterplast.ru/bugs/
AbiWord|http://www.abisource.com/|http://bugzilla.abisource.com/
Activestate|http://www.activestate.com/|http://bugs.activestate.com/
Advanced Digital Broadcast|http://www.adbglobal.com/|https://support.adbglobal.com/bugz/index.cgi 
Alt Linux|http://www.altlinux.org/|https://bugzilla.altlinux.org/
Anope IRC Services|http://www.anope.org/|http://bugs.anope.org/
Apache Project|http://www.apache.org/|http://issues.apache.org/bugzilla/
AspectC++|http://www.aspectc.org/|http://www.aspectc.org/bugzilla/
Asteriou|http://www.asteriou.com/|http://bugzilla.asteriou.com/
Astur Linux|http://www.asturlinux.org/|http://www.asturlinux.org/bugzilla/
Async Open Source|http://www.async.com.br/|http://bugs.async.com.br/
Avadhi Finance and Technology|http://www.avadhi.com/|http://www.avadhi.com/bugzilla-2.18rc3/index.cgi
Cendio|http://www.cendio.com/|http://www.cendio.com/bugzilla/
Center for Distributed Object Computing, Washington University at St. Louis|http://deuce.doc.wustl.edu/|http://deuce.doc.wustl.edu/bugzilla/
Center for Hybrid and Embedded Software Systems, University of Berkeley|https://chess.eecs.berkeley.edu/|https://chess.eecs.berkeley.edu/bugzilla/
Codemagus|http://www.codemagus.com/|http://www.codemagus.com/issues/
Code Magus Limited|http://www.codemagus.com/|http://www.codemagus.com/issues/
Compendium, Open University|http://compendium.open.ac.uk/|http://compendium.open.ac.uk/bugzilla/
ContentLion|http://www.contentlion.org/|http://bugzilla.contentlion.org/
Computational Biology and Informatics Lab, University of Pennsylvania|http://www.cbil.upenn.edu/|https://www.cbil.upenn.edu/tracker/
Courtesan Consulting|http://www.courtesan.com/|http://www.courtesan.com/bugzilla/
CVS on NT|http://www.cvsnt.org/|http://customer.march-hare.com/webtools/bugzilla/
DataDino|http://www.datadino.com/|http://www.datadino.com/bugzilla/
distributed.net|http://www.distributed.net/|http://bugs.distributed.net/
DMOZ|http://dmoz.org|http://bugzilla.dmoz.org/
ebase|http://www.ebase.org/|http://wush.net/bugzilla/ebadmin/
Eclipse|http://www.eclipse.org/|https://bugs.eclipse.org/bugs/
Ecoinformatics.org|http://www.ecoinformatics.org/|http://bugzilla.ecoinformatics.org/
EggHeads.org|http://www.eggheads.org/|http://www.eggheads.org/bugzilla/
ElitNet|http://www.elitnet.lt/|http://www.elitnet.lt/support/
ETC s.r.o.|http://www.etc.sk/|https://bugzilla.etc.sk/
Etersoft|http://www.etersoft.ru/|http://bugs.etersoft.ru/
Exim|http://www.exim.org/|http://www.exim.org/bugzilla/
Freedesktop.org/X.org|http://freedesktop.org/|http://freedesktop.org/bugzilla/index.cgi
Ganymede|http://tools.arlut.utexas.edu/gash2/|http://tools.arlut.utexas.edu/bugzilla/
GCC for RISC OS|http://gccsdk.riscos.info/|http://www.riscos.info/bugzilla/index.cgi
GCC|http://gcc.gnu.org/|http://gcc.gnu.org/bugzilla/
GColPart.com|http://www.gcolpart.com/|http://www.gcolpart.com/bugzilla/
Geant4 project|http://geant4.org/|http://bugzilla-geant4.kek.jp/
Gentoo|http://www.gentoo.org/|http://bugs.gentoo.org/
Glub Tech, Inc|http://www.glub.com/|http://www.glub.com/bugs/
GNOME|http://www.gnome.org/|http://bugzilla.gnome.org/
HPCalc|http://www.hpcalc.org|http://bugs.hpcalc.org
HylaFAX|http://www.hylafax.org/|http://bugs.hylafax.org/bugzilla/
Icculus|http://www.icculus.org/|https://bugzilla.icculus.org/
imCode|http://www.imcode.com/|http://bugzilla.imcode.com/
IntelliCAD Technology Consortium|http://www.itcdevelopment.org/|http://www.itcdevelopment.org/bugzilla/
Invitel Zrt.|http://www.invitel.hu/|http://project.invitel.co.hu/bcpbugs/index.cgi
iPLATINUM Pty Ltd|http://www.iplatinum.com.au/|http://support.iplatinum.com.au/bugzilla/index.cgi
